Episode,Time,Blocks placed,Final Score,,Promedio
287,1.272040129,21,1372,,
288,1.330019951,21,1044,,
289,1.291021109,21,1284,,
290,1.312037945,21,1202,,
291,1.527999163,21,1328,,
292,1.462660551,21,1140,,
293,1.553030014,21,1118,,
294,1.161006927,21,1400,,
295,1.294145823,21,1336,,
296,1.385002613,21,1158,,
297,1.485349178,21,1160,,
298,1.418004751,21,1312,,
299,1.117999315,21,1322,,
300,1.17799592,21,1338,,
301,1.36400032,21,1118,,
302,1.045009375,21,1346,,
303,1.265509605,21,1098,,
304,1.21399951,21,1242,,
305,1.313538313,21,1174,,
306,1.573671341,21,1310,,
307,1.097784519,21,1328,,
308,1.301000834,21,1326,,
309,1.561000824,21,898,,
310,1.280203342,21,1404,,
311,1.512576103,21,1116,,
312,1.328007698,21,1278,,
313,1.373521805,21,1296,,
314,1.069005251,21,1408,,
315,1.361476898,21,1256,,
316,1.411000729,21,1050,,
317,1.410013676,21,1066,,
318,1.33800149,21,1314,,
319,1.351001501,21,1346,,
320,1.308998585,21,1298,,
321,1.372995377,21,1400,,
322,1.439530134,19,936,,
323,1.42582202,21,1360,,
324,1.321001053,21,1330,,
325,1.49830246,21,1288,,
326,1.324999809,21,1136,,
327,1.565990686,21,1064,,
328,1.259003162,21,1270,,
329,1.405521154,21,1330,,
330,1.053999662,21,1364,,
331,1.27199769,21,1396,,
332,1.354989767,21,1168,,
333,1.225015879,21,1356,,
334,1.27801156,21,1248,,
335,1.227767944,21,1308,,
336,1.407120705,21,1132,,
337,1.242991686,21,1184,,
338,1.303017855,21,1290,,
339,1.076006889,21,1386,,
340,1.288444042,21,1228,,
341,1.210006237,21,1368,,
342,1.497467041,21,1128,,
343,1.501464844,21,1138,,
344,1.307995796,21,1200,,
345,1.433995247,21,1184,,
346,1.347000837,21,1216,,
347,1.211152554,21,1178,,
348,1.226996899,21,1264,,
349,1.144987106,21,1264,,
350,1.331989765,21,1080,,
351,1.117487431,21,1342,,
352,1.439373255,21,1008,,
353,1.340008497,21,1434,,
354,1.267464876,21,1328,,
355,1.26500082,21,1506,,
356,1.388000011,21,1202,,
357,1.433015347,21,1194,,
358,1.364007235,19,1018,,
359,1.219000101,18,802,,
360,1.121008635,21,1342,,
361,1.284377337,21,1374,,
362,1.419984818,20,1006,,
363,1.461997032,21,1194,,
364,1.455997944,21,1224,,
365,1.346999884,21,1304,,
366,0.995025396,21,1518,,
367,1.452011347,21,1220,,
368,1.516000032,21,1214,,
369,1.385616064,21,1378,,
370,1.260276318,21,1110,,
371,1.212997198,21,1310,,
372,1.574999571,21,910,,
373,0.995444298,21,1428,,
374,1.328423977,21,1354,,
375,1.430994511,21,1196,,
376,1.071000099,21,1482,,
377,1.23300004,21,1180,,
378,1.421262503,21,1216,,
379,1.373211861,21,1416,,
380,1.095998764,21,1448,,
381,1.303529024,21,1440,,
382,1.312007904,21,1348,,
383,1.407003403,21,1352,,
384,1.311996698,21,1242,,
385,1.426012754,21,1100,,
386,1.100994825,21,1452,,
387,1.288003206,21,1342,,
388,1.309003353,21,1388,,
389,1.42352581,21,1142,,
390,1.398015022,21,1348,,
391,1.358001471,21,1352,,
392,1.493991613,21,1244,,
393,1.489023209,21,1136,,
394,1.236013412,21,1366,,
395,1.296996355,21,1216,,
396,1.277003288,21,1342,,
397,1.269997358,21,1114,,
398,1.126996994,21,1408,,
399,1.164004326,21,1266,,
400,1.315533161,21,1066,,
401,1.258633614,21,1272,,
402,1.534552336,19,964,,
403,1.162994385,21,1320,,
404,1.07653451,21,1512,,
405,1.313011646,21,1332,,
406,1.604389429,21,1202,,
407,1.423001528,21,1204,,
408,1.120001554,21,1318,,
409,1.44201684,21,880,,
410,1.415060043,21,1248,,
411,1.251994371,21,1162,,
412,1.237998247,21,1248,,
413,1.115999937,21,1424,,
414,1.332998991,21,1184,,
415,1.586013556,21,1292,,
416,1.25751543,21,1370,,
417,1.14599514,21,1404,,
418,1.079000473,21,1424,,
419,1.478003979,21,1292,,
420,1.46192503,21,1320,,
421,1.166237831,21,1486,,
422,1.3045156,21,1354,,
423,1.262003422,21,1380,,
424,1.305000305,21,1020,,
425,1.248028517,21,1128,,
426,1.520524502,21,1392,,
427,1.254027605,21,1274,,
428,1.216995716,21,1162,,
429,1.357998848,20,988,,
430,1.398444891,21,1226,,
431,1.597748518,21,912,,
432,1.352704048,21,1256,,
433,1.456089497,21,1318,,
434,1.238162041,21,1378,,
435,1.387834311,21,1158,,
436,1.423378229,21,1254,,
437,1.266165972,21,1206,,
438,1.323991299,21,1292,,
439,1.390006304,21,1222,,
440,1.171544552,21,1170,,
441,1.268998623,21,1072,,
442,1.433999062,21,1202,,
443,1.314020634,21,1296,,
444,1.357605696,21,1426,,
445,1.370006084,21,1146,,
446,1.369012117,21,1280,,
447,1.369006395,21,1272,,
448,1.123988628,21,1390,,
449,1.310995817,21,1224,,
450,1.272999763,21,1264,,
451,1.528001547,21,1316,,
452,1.376002073,21,1288,,
453,1.616000175,21,1256,,
454,1.163999557,21,1268,,
455,1.266996861,21,1166,,
456,1.331012011,21,1130,,
457,1.366363287,21,1094,,
458,1.37055707,21,1394,,
459,1.398011923,21,1102,,
460,1.30099535,21,1344,,
461,1.15399003,21,1388,,
462,1.521000385,21,1148,,
463,1.493000269,21,1156,,
464,1.430002451,21,1430,,
465,1.217004299,21,1348,,
466,1.455186367,21,1096,,
467,1.432012558,21,1216,,
468,1.625030041,21,1242,,
469,1.150000095,21,1468,,
470,1.179507256,21,1422,,
471,1.526004076,21,1228,,
472,1.262520313,21,1384,,
473,1.259999275,21,1164,,
474,1.203706741,21,1300,,
475,1.184994459,21,1168,,
476,1.409999609,21,1212,,
477,1.319000483,21,1324,,
478,1.398000956,21,1422,,
479,1.265991926,21,1254,,
480,1.455000877,21,1116,,
481,1.474993706,21,1044,,
482,1.271023035,21,1400,,
483,1.240000963,21,1186,,
484,1.387292624,21,1068,,
485,1.22934413,21,1414,,
486,1.462528467,21,1194,,
487,1.307995081,21,1226,,
488,1.267006636,21,1356,,
489,1.522059917,21,1064,,
490,1.185070276,21,1434,,
491,1.182994127,21,1510,,
492,1.331516743,21,1182,,
493,1.37399745,21,1228,,
494,1.133996725,21,1356,,
495,1.358518124,21,1284,,
496,1.323005676,21,1252,,
497,1.319002867,21,1382,,
498,1.287992954,21,1318,,
499,1.278974295,21,1226,,
500,1.307999134,21,1206,,
501,1.418999672,21,1094,,
502,1.28553319,21,1236,,
503,1.230994225,21,1324,,
504,1.487998962,21,1164,,
505,1.498017073,21,1068,,
506,1.468999147,21,1186,,
507,1.401013613,21,1324,,
508,1.22299695,21,1402,,
509,1.289996386,21,1292,,
510,1.405998468,21,1316,,
511,1.422995329,21,1176,,
512,1.120001078,21,1354,,
513,1.19999361,21,1368,,
514,1.46452117,21,1016,,
515,1.392002344,21,984,,
516,1.062998056,21,1448,,
517,1.252999306,21,1408,,
518,1.54099226,21,1188,,
519,1.348006725,21,1050,,
520,1.254998446,21,1208,,
521,1.337064266,21,1214,,
522,1.274998903,21,1034,,
523,1.41107893,21,1150,,
524,1.39200139,21,1394,,
525,1.177998304,21,1176,,
526,1.423998594,21,1170,,
527,1.406000614,21,1246,,
528,1.181411266,21,1274,,
529,1.167538166,21,1310,,
530,1.154553413,21,1320,,
531,1.082993984,21,1284,,
532,1.272995234,21,1114,,
533,1.196995258,21,1224,,
534,1.533034325,21,1164,,
535,1.04100132,21,1464,,
536,1.545000315,21,1020,,
537,1.547000885,21,1192,,
538,1.569997549,21,1052,,
539,1.109527826,21,1418,,
540,1.642999411,21,948,,
541,1.345523119,21,1224,,
542,1.189001799,21,1340,,
543,1.463002682,21,1082,,
544,1.288000345,21,1342,,
545,1.41704607,21,1152,,
546,1.334000826,21,1126,,
547,1.338001251,21,1342,,
548,1.382521868,20,1196,,
549,1.051513433,21,1480,,
550,1.242003202,21,1354,,
551,1.378514051,21,1234,,
552,1.278001308,21,1476,,
553,1.392005682,21,1138,,
554,1.322122574,21,1178,,
555,1.489506483,21,1096,,
556,1.174996614,21,1278,,
557,1.173004389,21,1372,,
558,1.116994143,21,1312,,
559,1.239001989,21,1258,,
560,1.578708887,19,894,,
561,1.238617182,21,1248,,
562,1.100999594,21,1384,,
563,1.412011862,21,1108,,
564,1.203000784,21,1344,,
565,1.409998894,21,1144,,
566,1.568000317,21,1264,,
567,1.100994349,21,1352,,
568,1.370993614,21,1100,,
569,1.378572226,21,1192,,
570,1.362041235,21,1206,,
571,1.185519695,21,1400,,
572,1.371000051,21,1016,,
573,1.299516678,21,1302,,
574,1.581512451,21,1328,,
575,1.306031227,21,1218,,
576,1.395037651,21,1172,,
577,1.327005386,21,1422,,
578,1.252002239,21,1196,,
579,1.395999908,21,1062,,
580,1.46700573,21,1110,,
581,1.153519392,21,1362,,
582,1.526000977,21,1106,,
583,1.570999384,21,1214,,
584,1.439522505,21,1474,,
585,1.522997856,21,1046,,
586,1.450998306,20,934,,
587,1.320997953,21,1366,,
588,1.667000532,20,892,,
589,1.337996483,21,1234,,
590,1.438478947,21,1382,,
591,1.325525045,21,1240,,
592,1.525397539,21,1072,,
593,1.144009352,21,1288,,
594,1.121072292,21,1340,,
595,1.598999977,21,1026,,
596,1.506000042,21,1164,,
597,1.064992428,21,1192,,
598,1.188996077,21,1320,,
599,1.289000988,20,1074,,
600,1.356998682,21,962,,
601,1.398000479,21,1162,,
602,1.291998625,21,1300,,
603,1.470999479,21,1202,,
604,1.38399744,21,1236,,
605,1.401179314,21,1040,,
