Episode,Time,Blocks placed,Final Score
255,1.2942333221435547,21,1198
256,1.1765823364257812,21,1434
257,1.3207662105560303,21,1288
258,1.3454794883728027,21,1396
259,1.3274917602539062,21,1238
260,1.1983742713928223,21,1334
261,1.276881217956543,21,1090
262,1.3572790622711182,21,1288
263,1.1648402214050293,21,1286
264,1.2512407302856445,21,1186
265,1.2702720165252686,21,1202
266,1.1485064029693604,21,1368
267,1.3226854801177979,18,744
268,1.2775533199310303,21,1262
269,1.3101470470428467,21,1216
270,1.260765790939331,21,1220
271,1.2529516220092773,21,1434
272,1.3435688018798828,21,1322
273,1.4207100868225098,21,1026
274,1.0001614093780518,21,1388
275,1.163912296295166,21,1362
276,1.2915117740631104,21,1208
277,1.2212026119232178,21,1160
278,1.2364163398742676,21,1256
279,1.4830176830291748,21,1082
280,1.1639912128448486,21,1264
281,1.4320003986358643,21,914
282,1.2186410427093506,21,1332
283,1.2483999729156494,21,1390
284,1.1070053577423096,21,1358
285,1.501999855041504,21,1176
286,1.3950169086456299,21,1354
287,1.2720401287078857,21,1372
288,1.3300199508666992,21,1044
289,1.2910211086273193,21,1284
290,1.3120379447937012,21,1202
291,1.5279991626739502,21,1328
292,1.462660551071167,21,1140
293,1.553030014038086,21,1118
294,1.1610069274902344,21,1400
295,1.2941458225250244,21,1336
296,1.385002613067627,21,1158
297,1.485349178314209,21,1160
298,1.4180047512054443,21,1312
299,1.1179993152618408,21,1322
300,1.1779959201812744,21,1338
301,1.3640003204345703,21,1118
302,1.0450093746185303,21,1346
303,1.2655096054077148,21,1098
304,1.2139995098114014,21,1242
305,1.3135383129119873,21,1174
306,1.5736713409423828,21,1310
307,1.0977845191955566,21,1328
308,1.3010008335113525,21,1326
309,1.5610008239746094,21,898
310,1.2802033424377441,21,1404
311,1.5125761032104492,21,1116
312,1.328007698059082,21,1278
313,1.3735218048095703,21,1296
314,1.0690052509307861,21,1408
315,1.3614768981933594,21,1256
316,1.4110007286071777,21,1050
317,1.4100136756896973,21,1066
318,1.3380014896392822,21,1314
319,1.351001501083374,21,1346
320,1.3089985847473145,21,1298
321,1.372995376586914,21,1400
322,1.4395301342010498,19,936
323,1.4258220195770264,21,1360
324,1.3210010528564453,21,1330
325,1.4983024597167969,21,1288
326,1.3249998092651367,21,1136
327,1.565990686416626,21,1064
328,1.2590031623840332,21,1270
329,1.4055211544036865,21,1330
330,1.053999662399292,21,1364
331,1.2719976902008057,21,1396
332,1.354989767074585,21,1168
333,1.2250158786773682,21,1356
334,1.2780115604400635,21,1248
335,1.2277679443359375,21,1308
336,1.407120704650879,21,1132
337,1.2429916858673096,21,1184
338,1.3030178546905518,21,1290
339,1.0760068893432617,21,1386
340,1.2884440422058105,21,1228
341,1.2100062370300293,21,1368
342,1.497467041015625,21,1128
343,1.50146484375,21,1138
344,1.3079957962036133,21,1200
345,1.433995246887207,21,1184
346,1.3470008373260498,21,1216
347,1.2111525535583496,21,1178
348,1.226996898651123,21,1264
349,1.1449871063232422,21,1264
350,1.3319897651672363,21,1080
351,1.1174874305725098,21,1342
352,1.439373254776001,21,1008
353,1.3400084972381592,21,1434
354,1.2674648761749268,21,1328
355,1.265000820159912,21,1506
356,1.3880000114440918,21,1202
357,1.4330153465270996,21,1194
358,1.3640072345733643,19,1018
359,1.2190001010894775,18,802
360,1.1210086345672607,21,1342
361,1.2843773365020752,21,1374
362,1.4199848175048828,20,1006
363,1.4619970321655273,21,1194
364,1.4559979438781738,21,1224
365,1.3469998836517334,21,1304
366,0.9950253963470459,21,1518
367,1.4520113468170166,21,1220
368,1.5160000324249268,21,1214
369,1.3856160640716553,21,1378
370,1.2602763175964355,21,1110
371,1.2129971981048584,21,1310
372,1.5749995708465576,21,910
373,0.9954442977905273,21,1428
374,1.3284239768981934,21,1354
375,1.4309945106506348,21,1196
376,1.071000099182129,21,1482
377,1.2330000400543213,21,1180
378,1.421262502670288,21,1216
379,1.3732118606567383,21,1416
380,1.095998764038086,21,1448
381,1.3035290241241455,21,1440
382,1.3120079040527344,21,1348
383,1.407003402709961,21,1352
384,1.3119966983795166,21,1242
385,1.4260127544403076,21,1100
386,1.1009948253631592,21,1452
387,1.2880032062530518,21,1342
388,1.3090033531188965,21,1388
389,1.4235258102416992,21,1142
390,1.398015022277832,21,1348
391,1.358001470565796,21,1352
392,1.4939916133880615,21,1244
393,1.489023208618164,21,1136
394,1.236013412475586,21,1366
395,1.2969963550567627,21,1216
396,1.277003288269043,21,1342
397,1.2699973583221436,21,1114
398,1.1269969940185547,21,1408
399,1.1640043258666992,21,1266
400,1.31553316116333,21,1066
401,1.2586336135864258,21,1272
402,1.5345523357391357,19,964
403,1.162994384765625,21,1320
404,1.0765345096588135,21,1512
405,1.313011646270752,21,1332
406,1.6043894290924072,21,1202
407,1.4230015277862549,21,1204
408,1.1200015544891357,21,1318
409,1.442016839981079,21,880
410,1.415060043334961,21,1248
411,1.2519943714141846,21,1162
412,1.2379982471466064,21,1248
413,1.1159999370574951,21,1424
414,1.3329989910125732,21,1184
415,1.5860135555267334,21,1292
416,1.2575154304504395,21,1370
417,1.1459951400756836,21,1404
418,1.079000473022461,21,1424
419,1.478003978729248,21,1292
420,1.4619250297546387,21,1320
421,1.1662378311157227,21,1486
422,1.3045156002044678,21,1354
423,1.2620034217834473,21,1380
424,1.3050003051757812,21,1020
425,1.2480285167694092,21,1128
426,1.520524501800537,21,1392
427,1.2540276050567627,21,1274
428,1.2169957160949707,21,1162
429,1.3579988479614258,20,988
430,1.3984448909759521,21,1226
431,1.5977485179901123,21,912
432,1.3527040481567383,21,1256
433,1.4560894966125488,21,1318
434,1.2381620407104492,21,1378
435,1.3878343105316162,21,1158
436,1.4233782291412354,21,1254
437,1.2661659717559814,21,1206
438,1.323991298675537,21,1292
439,1.3900063037872314,21,1222
440,1.1715445518493652,21,1170
441,1.268998622894287,21,1072
442,1.4339990615844727,21,1202
443,1.3140206336975098,21,1296
444,1.3576056957244873,21,1426
445,1.3700060844421387,21,1146
446,1.3690121173858643,21,1280
447,1.3690063953399658,21,1272
448,1.1239886283874512,21,1390
449,1.3109958171844482,21,1224
450,1.2729997634887695,21,1264
451,1.5280015468597412,21,1316
452,1.3760020732879639,21,1288
